subject,model,nll,cv_nll,params
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,gamma_only_model,1844.0971763357666,1844.248137468524,[0.037169815395421385]
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,gamma_0_model,1864.5884251681252,1865.3626842523765,[0.2721320991438213]
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,gamma_no_same_model,1980.8084373709444,1983.3171373056227,[0.05514336938926562]
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,eureka_model,1981.0679764255092,1992.3226944314001,"[13.00000000444934, 0.46597341677811643]"
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,forward_search,2011.076526980894,2026.1911315618959,"[0.7259520535424401, 3.5362955e8]"
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,opt_rand_model,1983.2921040581696,1983.47475394642,[0.48433604374594996]
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,hill_climbing_model,2371.922225270132,2374.656599220209,"[0.6594835767812579, -1.0665807425764025, 0.15506553408618107]"
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,random_model,2480.135253954254,2480.135253954237,[0.3819660112501051]
A15FXHC1CVNW31:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,gamma_only_model,2901.8090144421576,2902.8402881920106,[0.08805815058362026]
A15FXHC1CVNW31:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,gamma_0_model,2912.828276699561,2914.0907670184893,[0.46493774190741155]
A15FXHC1CVNW31:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,gamma_no_same_model,3028.5613801747286,3033.4015506519927,[0.12931741587612064]
A15FXHC1CVNW31:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,eureka_model,3093.3114075536955,3094.474372256187,"[17.0, 0.6665705356752709]"
A15FXHC1CVNW31:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,forward_search,3135.3454488536236,3137.8345478824913,"[1.1666443402835154, 463090.0]"
A15FXHC1CVNW31:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,opt_rand_model,3093.3749297521567,3093.5605522961587,[0.6669946998421127]
A15FXHC1CVNW31:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,hill_climbing_model,3290.902771863377,3294.9463310976003,"[0.0003591610758317783, -0.9438513911982191, 0.007492711594919953]"
A15FXHC1CVNW31:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,random_model,3403.6509677013937,3403.6509677013596,[0.3819660112501051]
A1IUH9D7N69VS:3FTF2T8WLSQDHTSZ1BJ7Q7MB14SW9H,gamma_only_model,2149.5088696898047,2150.728310547698,[0.03342615234862963]
A1IUH9D7N69VS:3FTF2T8WLSQDHTSZ1BJ7Q7MB14SW9H,gamma_0_model,2191.8565650533747,2192.1898571972356,[0.2668325637995646]
A1IUH9D7N69VS:3FTF2T8WLSQDHTSZ1BJ7Q7MB14SW9H,gamma_no_same_model,2335.6390496640724,2337.019810448536,[0.05283079928341334]
A1IUH9D7N69VS:3FTF2T8WLSQDHTSZ1BJ7Q7MB14SW9H,eureka_model,2221.9606772911957,2251.7037816050542,"[11.99304590450095, 0.29909676318059764]"
A1IUH9D7N69VS:3FTF2T8WLSQDHTSZ1BJ7Q7MB14SW9H,forward_search,2190.7039355500287,2191.606863154374,"[0.8240993641862824, 1.0e10]"
A1IUH9D7N69VS:3FTF2T8WLSQDHTSZ1BJ7Q7MB14SW9H,opt_rand_model,2280.828768288331,2282.0514616422042,[0.4479754427048051]
